Kode_Promo|TanggalPromo|AREAID|Distributor_ID|Distributor_Name|GroupPromo_ID|PromoType_ID|ClassPromo_ID|COA|TITLE|Tgl_Awal|Tgl_AKhir|Total_sales_TaRGET|Background|promo_mechanisme|claim_mechanisme|claimtradeoff|costofpromo|Type_of_Cost|cost_rasio|status|Complete|tanggal_reco|Jenis_Biaya|Created_by|last_update|Approval1|Approval2|Tgl_approval2|Close|Partial_amount|Kode_budget|alokasi|Value|GroupOutlet_ID|sales_Target|KdPrincipal|level2Name
BP16021691|2016-02-23 00:00:00|NO DATA|KA00016|INDOMART|KA|TT NON PF|STORE FEE|601.4403|DISKON GRAND OPENING  INDOMARET  SURABAYA  ( PROPSBY1-45/MOD/DLS/II/16 )|2016-02-01 00:00:00|2016-02-29 00:00:00|154860|TRADING TERM|DISKON GRAND OPENING INDOMARET , TARGET TIDAK MENGIKAT|TRANSFER|Uang|464500|NO DATA|2.999400|Approved|SAPTA|2016-02-23 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-23 15:16:00|0|0|BD1602000|100|4645.00||154860|MKI|MODERN
BP16021692|2016-02-23 00:00:00|NO DATA|KA00016|INDOMART|KA|TT NON PF|STORE FEE|601.4403|DISKON GRAND OPENING INDOMARET MAKASAR  ( PROPMKS-017/MT/DLS/II/16 )|2016-02-18 00:00:00|2016-02-22 00:00:00|619441|TRADING TERM|DISKON GRAND OPENING INDOMARET , TARGET TIDAK MENGIKAT|TRANSFER|Uang|1858300|NO DATA|2.999900|Approved|SAPTA|2016-02-23 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-23 15:16:00|0|0|BD1602000|100|18583.00||619441|MKI|MODERN
BP16021693|2016-02-23 00:00:00|NO DATA|KA00016|INDOMART|KA|TT NON PF|STORE FEE|601.4403|DISKON GRAND OPENING INDOMARET SEMARANG  ( PROPSMG-056/MT/DLS-KI/II/2016 )|2016-02-17 00:00:00|2016-02-17 00:00:00|157500|TRADING TERM|DISKON GRAND OPENING INDOMARET , TARGET TIDAK MENGIKAT|TRANSFER|Uang|580600|NO DATA|3.686300|Approved|SAPTA|2016-02-23 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-23 15:16:00|0|0|BD1602000|100|5806.00||157500|MKI|MODERN
BP16021694|2016-02-23 00:00:00|NO DATA|KA00016|INDOMART|KA|TT NON PF|STORE FEE|601.4403|DISKON GRAND OPENING INDOMARET SURABAYA  ( PROPSBY2-038/MOD/DLS SBY2/II/2016 )|2016-02-01 00:00:00|2016-02-29 00:00:00|154860|TRADING TERM|DISKON GRAND OPENING INDOMARET , TARGET TIDAK MENGIKAT|TRANSFER|Uang|464600|NO DATA|3.000100|Approved|SAPTA|2016-02-23 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-23 15:16:00|0|0|BD1602000|100|4646.00||154860|MKI|MODERN
BP16021696|2016-02-23 00:00:00|NO DATA|1043054|JAYA MAKMUR, UD - MEDAN|Distributor|SALES MT NONDLS|TP LOKAL|601.5101|PROLOK MTI JAYA MAKMUR - MEDAN|2016-02-17 00:00:00|2016-02-29 00:00:00|0||Info Program 	: PROLOK MTI Jaya Makmur-Medan Periode		:17-29 Febuari 2016Mekanisme 	: Add Discount ON PO 5%Brand		: All Product MKITotal Biaya	: 1,438,421Outlet		:1 Brastagi Supermarket2 Irian Supermarket / Aksara3 Irian Supermarket / Tembung4 Irian Supermarket- Bahagia5 Irian Supermarket-Marelan6 Irian Supermarket – Tj Morawa7 Kasimura / Wahidin8 Kasimura – Krakatau9 Maju Bersama (Letjo Sujono)10 Maju Bersama (Mangkubumi)11 Maju Bersama ( Marendal)12 Maju Bersama (Martubung)13 Maju Bersama (Denai)14 Maju Bersama (Medan Mall)15 Maju Bersama (Merak JIngga)16 Maju Bersama (Glugur)17 Maju Bersama (Krakatau)No Reco: Belum ada, base on surat pengajuan budget MTI Pak Sutoni dengan Pak Iwan TW|TRANSFER|Uang|143842100|NO DATA|143842100.000000|Approved|Kimin|2016-02-23 00:00:00|J|Gladys.Citra|Gladys.Citra|||2016-02-23 16:08:00|0|0|BD1601000|100|1438421.00||0|MKI|SALES MKI
BP16021789|2016-02-24 00:00:00|NO DATA|Nasional|Nasional|Nasional|SALES MT DLS|TP NASIONAL|601.5101|TAMBAHAN BUDGET BP16021113 Lastbite Pia100 di Outlet GT & MTI (ALL DLS BO & NON BO)|2016-02-01 00:00:00|2016-02-20 00:00:00|0||Sehubungan dengan adanya kenaikan harga Pia100 di bulan Febuari 2016, dimana yang kita ketahui bersama bahwa produk ini lebih besar kontribusinya di MT KA namun beberapa area dapat menjualnya di General Trade (GT) dan Modern Trade Independent (MTI) Oleh karena itu kami memberikan kuota harga lama untuk beberapa outlet GT & MTI dalam pembelian Pia100 Mekanismenya sbb :Periode Lastbite 	: 01-20 Febuari 2016Tujuan 		 	: Menjaga good relationship dan meningkatkan sell out di selektif outletMekanisme 		:-	Outlet berhak mendapatkan harga lama hanya dengan 1 x PO selama periode-	Kuota by subdist terlampir dan target kuota by subdist kami berikan sebagai panduan untuk subdist eksekusi-	Kelebihan kuota atau biaya dari last bite ini menjadi beban subdist-	Subdist klaim sesuai SOP yang berlakuNo Ref		:003/DLS/NBM/II/2016|TRANSFER|Barang|7000000000|NO DATA|7000000000.000000|Approved|All|2016-02-24 00:00:00|J|Gladys.Citra|Gladys.Citra|||2016-02-24 13:19:00|0|0|BD1601000|100|70000000.00||0|MKI|SALES MKI
BP16022025|2016-02-25 00:00:00|NO DATA|1043065|MANNA DISTRINDO, PT - JAMBI|Distributor|SALES MT NONDLS|TP LOKAL|601.5101|PROLOK MTI MANNADIS JAMBI FEBUARI 2016|2016-02-01 00:00:00|2016-02-29 00:00:00|0||PROLOK MTI MANNADIS JAMBIPROGRAM : CASH BACK 5% UNTUK OUTLET DENGAN MINIMAL ORDER YANG TELAH DITENTUKANTUJUAN : MENINGKATKAN SELL OUT DAN DROP SIZEPERIODE PROGRAM : 01-29 FEBUARI 2016PRODUK : ALL MKI (ALL VARIANT)TOTAL COST : 2562182NO RECO : BASE ON SURAT PENGAJUAN BUDGET MTI PAK SUTONI DENGAN PAK IWAN TW TGL 26 JANUARI 2016|TRANSFER|Uang|256218200|NO DATA|256218200.000000|Approved|Kimin|2016-02-25 00:00:00|J|Gladys.Citra|Gladys.Citra|||2016-02-25 15:25:00|0|0|BD1601000|100|2562182.00||0|MKI|SALES MKI
BP16022067|2016-02-25 00:00:00|NO DATA|1043040|DUTA LESTARI SENTRATAMA, PT - JAKARTA|Distributor|SALES MT DLS|TP LOKAL|601.5101|SELISIH HARGA MKI DI ALL HARI-HARI PERIODE NOVEMBER |2015-11-01 00:00:00|2015-11-30 00:00:00|0||SELISIH HARGA MKI DI ALL HARI-HARI PERIODE NOVEMBER 2015PERIODE : 01 -30 NOVEMBER 2015TOTAL COST : 265,300C/R : 100%NO RECO : BASE ON PENGAJUAN BUDGET PAK SUTONI DENGAN PAK IWAN TW TANGGAL 26 JANUARI 2016|TRANSFER|Uang|26530000|NO DATA|26530000.000000|Approved|Iwan Setiawan|2016-02-25 00:00:00|J|Gladys.Citra|Gladys.Citra|||2016-02-25 16:59:00|0|0|BD1601000|100|265300.00||0|MKI|SALES MKI
BP16022206|2016-02-26 00:00:00|NO DATA|KA00015|INDOGROSIR|KA|BIAYA ON TOP BUDGET|INSTORE PROMO OTB|601.4505|ADD DISKON 5% ALL PRODUCT MKI INDOGROSIR BANDUNG 20 FEB - 29 FEB 2016 (PROPBDG1-20/MKII/MT/ll/2016)|2016-02-20 00:00:00|2016-02-29 00:00:00|15000000|UNTUK MENINGKATKAN PENJUALAN|ADD DISC ON PO 5%, TARGET MENGIKAT|TRANSFER|Uang|75000000|NO DATA|5.000000|Approved|SAPTA|2016-02-26 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-26 15:44:00|0|0|BD1602000|100|750000.00||15000000|MKI|MODERN
BP16022207|2016-02-26 00:00:00|NO DATA|KA00016|INDOMART|KA|TT NON PF|STORE FEE|601.4403|DISKON GRAND OPENING INDOMARET SURABAYA ( PROPSBY1-46/MOD/DLS SBY1/II/2016 )|2016-02-01 00:00:00|2016-02-29 00:00:00|2919711|TRADING TERM|DISKON GRAND OPENING INDOMARET , TARGET TIDAK MENGIKAT|TRANSFER|Uang|8759100|NO DATA|2.999900|Approved|SAPTA|2016-02-26 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-26 15:44:00|0|0|BD1602000|100|87591.00||2919711|MKI|MODERN
BP16022212|2016-02-27 00:00:00|NO DATA|KA00021|MATAHARI|KA|BIAYA ON TOP BUDGET|INSTORE PROMO OTB|601.4505|FREE GOOD HYPERMART SURABAYA ( PROPSBY2-041/MOD/DLS/II/2016 )|2016-02-01 00:00:00|2016-02-29 00:00:00|50000000|UNTUK MENINGKATKAN PENJUALAN|PEMBELIAN ALL BRAND KINO TARGET 50 JT BONUS 20 CTN FRENTA STRAWBERRY|TRANSFER|Uang|250000000|NO DATA|5.000000|Approved|SAPTA|2016-02-27 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-02-27 11:29:00|0|0|BD1602000|100|2500000.00||50000000|MKI|MODERN
BP16030093|2016-03-02 00:00:00|NO DATA|1043045|DUTA LESTARI SENTRATAMA, PT - SURABAYA 2|Distributor|SALES MT DLS|TP LOKAL|601.5101|BIAYA GAJI SPG EVENT DORAEMON FEB 16 (DLS SBY 2)|2016-02-01 00:00:00|2016-02-29 00:00:00|0||1	Pembayaran Gaji SPG Event Doraemon di Grand City Mall Surabaya periode 1 Februari – 14 Februari 20162	Pembayaran Gaji  & Lembur SPG sesuai  mekanisme surat yang di terbitkan oleh MKI dengan no REF 01/BM/MKI/XII/15   tanggal 15 Desember 2015 dan no REF 02/BM/MKI/XII/15   tanggal 17 Desember 20153	Perhitungan Gaji di hitung dai selisih margin antara Distributor Buying Price (DBP) dengan Customer Buying Price (CBP)-	DBP ( setelah di kurangi disc 7%)Pia 100 Mini Dora Rp 80561   Smile Dora Rp 92279-	CBPPia 100 Mini Dora Rp 120000Smile Dora Rp 125000-	Selisih MarginPia 100 Mini Dora Rp 39439Smile Dora Rp 32721-	Selisih Margin tersebut akan di gunakan sebagai berikut:1	Gaji SPG 2 orang @Rp 104231/hari2	Sewa rak selama 70 hari Rp 2625000 (potong tagihan)3	Jika ada selisih lebih dari margin tersebut , harap dibayarkan ke PTMKI4	Jika ada selisih kurang dari margin tersbut, maka PTMKI akan membayarkan sisa kekurangannya ke PTDLS        4 Perhitungan Biaya Lembur SPG sbb :           - Minimal 2 jam setelah jam kerja shift pagi selesai (minimal jam 1730) mendapat upah lembur         sebesar Rp 25000 (tidak berlaku kelipatan ) atau           - Sampai jam 2200 mendapat upah lembur sebesar Rp, 100000Upah Lembur ini di bayarkan oleh PTDLS bersama dengan gaji bulanan SPG        5Untuk Periode 1 Februari 2016 – 14 Februari 2016 Gaji SPG yang di bayarkan total Rp 3018468 dengan perincian  : SPG Lilis Andriyani Rp, 1767696, SPG Eka Ayu Rp 1250772       6NO RECO : RC/MKI/MKT/BA/16011275|TRANSFER|Uang|301846800|NO DATA|301846800.000000|Approved|NG HOK LUNG|2016-03-02 00:00:00|J|Evi.Farikah|Gladys.Citra|ROBIN|NG HOK LUNG|2016-03-02 10:31:00|0|0|BD1601000|100|3018468.00||0|MKI|SALES MKI
BP16030214|2016-03-03 00:00:00|NO DATA|1043043|DUTA LESTARI SENTRATAMA, PT - SUNTER|Distributor|SALES MT DLS|TP LOKAL|601.5101|Support Sample Frenta Candy Untuk Listing di Outlet MT KA|2016-02-01 00:00:00|2016-02-29 00:00:00|0|Mendorong selling out dan membantu distribusi|Info Program : Support Sample Frenta Candy Untuk Listing di Outlet MT KAOutlet MT KA : Lotte Mart, Carrefour, DllProduk: Kino Candy1	Twistie Anggur Susu 100 g, jumlah 2 ctn2	HC 25 Bag @63 gr Honey Lime, jumlah 2 ctn3	CC 20 Bag @88 gr Durian, jumlah 2 ctn4	CC 20 Bag @ 88 gr Ice Cream, jumlah 2 ctn5	CC 20 Bag @ 88 gr Coffee, jumlah 2 ctn6	CC 20 Bag @ 88 gr Mangga, jumlah 2 ctn7	Twistie Butterscotch 100 gr, jumlah 2 ctn8	CC 25 Bag @63 gr Cappucino, jumlah 2 ctn9	HC 25 Bag @63 gr Assorted Fruit, jumlah 2 ctn10	CC 20 Bag @88 gr Fruity Creamy, jumlah 2 ctn11	HC 25 Bag @63 gr Apple, jumlah 2 ctnKetentuan program :1	Sample menggunakan product dari DLS Kapuk terlebih dahulu dan kemudian diclaim ke MKI2	Total kuota sample adalah 22 tcn 3	DLS/Subdist wajib melakukan claim paling lambat 2 bulan dari Febuari 20164	Klaim tidak boleh melebihi kuota yang sudah ditetapkanNO  REF : 006/MKT/CY/MKI/II/16NO RECO : 0024/RC-CY/02/2016|TRANSFER|Barang|182690000|NO DATA|182690000.000000|Approved|Iwan Setiawan|2016-03-03 00:00:00|J|Gladys.Citra|Gladys.Citra|ROBIN|Iwan Setiawan|2016-03-03 11:08:00|0|0|BD1601000|100|1826900.00||0|MKI|SALES MKI
BP16030228|2016-03-03 00:00:00|NO DATA|1043043|DUTA LESTARI SENTRATAMA, PT - SUNTER|Distributor|SALES MT DLS|TP LOKAL|601.5101|Support Produk dalam rangka GO Transmart Cempaka Putih (DLS-Sunter)|2016-02-01 00:00:00|2016-02-29 00:00:00|0||Info Program : Support Produk sample dalam rangka GO Transmart Cempaka PutihOutlet MT : Transmart di Cempaka PutihTujuan : Untuk mendukung acara tersebutProduk : Kino Candy, antara lain sbb:1	CC 20 Bag @ 88 gr Fruit Creamy , jumlah 1 ctn2	CC Hello Kitty 20 Bags @ 30 pcs, jumlah 1 ctn3	CC 25 Bag @ 105 gr extra cappuccino, jumlah 12 pcs4	CC 25 Bag @ 105 gr extra barley M, jumlah 12 pcs5	HC 25 Bag @ 63 gr apple, jumlah 20 pcs6	HC 25 Bag @ 63 gr barleymint, jumlah 20 pcs7	HC 25 Bag @ 63 gr tamarind, jumlah 20 pcs8	SMILE 25 Bag coated fruit dora, jumlah 20 pcs9	SMILE 25 Bag coated mint dora, jumlah 20 pcs10	L POP 10 Bag @ 200 gr straw susu, jumlah 12 pcs11	L POP 10 Bag @ 200 gr coklat susu, jumlah 12 pcs12	DC 20 Bag HELLO KITTY Grape, jumlah 20 pcs13	DC 20 Bag HELLO KITTY BUTTER, jumlah 20 pcs14	DC 12Can HELLO KITTY ASS , jumlah 10 pcsKetentuan Program :1	Sample menggunakan produk dari DLS Sunter terlebih dahulu dan kemudian diklaim ke MKI2	Total kuota sample sesuai dengan breakdawn diatas3	DLS/Subdist wajib melakukan klaim paling lambat 2 bulan dari Febuari 20164	Klaim tidak boleh melebihi kuota yang sudah ditetapkanNO REF : 008/MKT/CY/MKI/II/2016NO RECO : 0025-26/RC-CY/02/2016|TRANSFER|Barang|25000000|NO DATA|25000000.000000|Approved|Iwan Setiawan|2016-03-03 00:00:00|J|Gladys.Citra|Gladys.Citra|ROBIN|Iwan Setiawan|2016-03-03 11:39:00|0|0|BD1601000|100|250000.00||0|MKI|SALES MKI
BP16021771|2016-03-04 00:00:00|NO DATA|KA00019|LOTTEMART WHOLE|KA|TT NON PF|FIXED REBATE|601.4401|FIX REBATE BEVERAGE LOTTEMART WHOLE 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|80714287|TRADING TERM|REBATE YG DIPEROLEH ACCOUNT  BERDASARKAN TOTAL PENJUALAN & TERTERA DITRADING TERM  BEVERAGE|TRANSFER|Uang|7129500|NO DATA|.088300|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:31:00|0|0|BD1602000|100|71295.00||80714287|MKI|MODERN
BP16021812|2016-03-04 00:00:00|NO DATA|KA00019|LOTTEMART WHOLE|KA|TT NON PF|INSENTIF REBATE|601.4402|INSENTIF REBATE BEVERAGE LOTTEMART WHOLE 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|80714287|TRADING TERM|PENCAPAIAN ATAS TARGET YANG DITETAPKAN DALAM TRADING TERM YANG BERHAK DITERIMA OLEH ACCOUNT  BEVERAGE|TRANSFER|Uang|4753000|NO DATA|.058800|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:31:00|0|0|BD1602000|100|47530.00||80714287|MKI|MODERN
BP16021772|2016-03-04 00:00:00|NO DATA|KA00023|NAGA|KA|TT NON PF|FIXED REBATE|601.4401|FIX REBATE BEVERAGE NAGA 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|21309519|TRADING TERM|REBATE YG DIPEROLEH ACCOUNT  BERDASARKAN TOTAL PENJUALAN & TERTERA DITRADING TERM  BEVERAGE|TRANSFER|Uang|1227700|NO DATA|.057600|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:31:00|0|0|BD1602000|100|12277.00||21309519|MKI|MODERN
BP16021813|2016-03-04 00:00:00|NO DATA|KA00023|NAGA|KA|TT NON PF|INSENTIF REBATE|601.4402|INSENTIF REBATE BEVERAGE NAGA 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|21309519|TRADING TERM|PENCAPAIAN ATAS TARGET YANG DITETAPKAN DALAM TRADING TERM YANG BERHAK DITERIMA OLEH ACCOUNT  BEVERAGE|TRANSFER|Uang|1227700|NO DATA|.057600|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:31:00|0|0|BD1602000|100|12277.00||21309519|MKI|MODERN
BP16030304|2016-03-04 00:00:00|NO DATA|KA00015|INDOGROSIR|KA|TT PF|DISPLAY PF|601.4302|SEWA BEVERAGE INDOGROSIR 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|6057098|UNTUK MENINGKATKAN PENJUALAN|PEMAJANGAN PRODUK DI ACCOUNT, PRODUKNYA ADALAH   BEVERAGE|TRANSFER|Uang|605709800|NO DATA|100.000000|Approved|SAPTA|2016-03-03 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:31:00|0|0|BD1602000|100|6057098.00||6057098|MKI|MODERN
BP16021748|2016-03-04 00:00:00|NO DATA|KA00038|AEON|KA|TT NON PF|FIXED REBATE|601.4401|FIX REBATE CANDY AEON 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|21926685|TRADING TERM|REBATE YG DIPEROLEH ACCOUNT  BERDASARKAN TOTAL PENJUALAN & TERTERA DITRADING TERM  CANDY|TRANSFER|Uang|1503700|NO DATA|.068500|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|15037.00||21926685|MKI|MODERN
BP16021774|2016-03-04 00:00:00|NO DATA|KA00038|AEON|KA|TT NON PF|INSENTIF REBATE|601.4402|INSENTIF REBATE CANDY AEON 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|21926685|TRADING TERM|PENCAPAIAN ATAS TARGET YANG DITETAPKAN DALAM TRADING TERM YANG BERHAK DITERIMA OLEH ACCOUNT  CANDY|TRANSFER|Uang|1503700|NO DATA|.068500|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|15037.00||21926685|MKI|MODERN
BP16021749|2016-03-04 00:00:00|NO DATA|KA00001|ALFA MIDI|KA|TT NON PF|FIXED REBATE|601.4401|FIX REBATE CANDY ALFA MIDI 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|505837736|TRADING TERM|REBATE YG DIPEROLEH ACCOUNT  BERDASARKAN TOTAL PENJUALAN & TERTERA DITRADING TERM  CANDY|TRANSFER|Uang|69378400|NO DATA|.137100|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|693784.00||505837736|MKI|MODERN
BP16021775|2016-03-04 00:00:00|NO DATA|KA00001|ALFA MIDI|KA|TT NON PF|INSENTIF REBATE|601.4402|INSENTIF REBATE CANDY ALFA MIDI 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|505837736|TRADING TERM|PENCAPAIAN ATAS TARGET YANG DITETAPKAN DALAM TRADING TERM YANG BERHAK DITERIMA OLEH ACCOUNT  CANDY|TRANSFER|Uang|34689200|NO DATA|.068500|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|346892.00||505837736|MKI|MODERN
BP16021815|2016-03-04 00:00:00|NO DATA|KA00001|ALFA MIDI|KA|TT NON PF|STORE FEE|601.4403|OPENING NEW STORE CANDY ALFA MIDI 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|505837736|TRADING TERM|BIAYA YANG DIKELUARKAN OLEH PERUSAHAAN BILA ACCOUNT MELAKUKAN OPENING NEW STORE ATAU RELAUNCH DAN TERTERA DALAM TRADING TERM  CANDY|TRANSFER|Uang|83333300|NO DATA|.164700|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|833333.00||505837736|MKI|MODERN
BP16021750|2016-03-04 00:00:00|NO DATA|KA00003|CARREFOUR|KA|TT NON PF|FIXED REBATE|601.4401|FIX REBATE CANDY CARREFOUR 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|871054761|TRADING TERM|REBATE YG DIPEROLEH ACCOUNT  BERDASARKAN TOTAL PENJUALAN & TERTERA DITRADING TERM  CANDY|TRANSFER|Uang|511966100|NO DATA|.587700|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|5119661.00||871054761|MKI|MODERN
BP16021776|2016-03-04 00:00:00|NO DATA|KA00003|CARREFOUR|KA|TT NON PF|INSENTIF REBATE|601.4402|INSENTIF REBATE CANDY CARREFOUR 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|871054761|TRADING TERM|PENCAPAIAN ATAS TARGET YANG DITETAPKAN DALAM TRADING TERM YANG BERHAK DITERIMA OLEH ACCOUNT  CANDY|TRANSFER|Uang|93084800|NO DATA|.106800|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|930848.00||871054761|MKI|MODERN
BP16021816|2016-03-04 00:00:00|NO DATA|KA00003|CARREFOUR|KA|TT NON PF|STORE FEE|601.4403|OPENING NEW STORE CANDY CARREFOUR 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|871054761|TRADING TERM|BIAYA YANG DIKELUARKAN OLEH PERUSAHAAN BILA ACCOUNT MELAKUKAN OPENING NEW STORE ATAU RELAUNCH DAN TERTERA DALAM TRADING TERM  CANDY|TRANSFER|Uang|175000000|NO DATA|.200900|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|1750000.00||871054761|MKI|MODERN
BP16021827|2016-03-04 00:00:00|NO DATA|KA00003|CARREFOUR|KA|TT NON PF|PENALTY SERVICE LEVEL|601.4406|PENALTY SERVICE LEVEL CANDY CARREFOUR 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|871054761|TRADING TERM|PENALTY YANG DIKENAKAN ATAS PENGIRIMAN BARANG KARENA TIDAK SESUAI PO YANG DIKELUARKAN  CANDY|TRANSFER|Uang|84835100|NO DATA|.097300|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|848351.00||871054761|MKI|MODERN
BP16030324|2016-03-04 00:00:00|NO DATA|KA00003|CARREFOUR|KA|BIAYA ON TOP BUDGET|INSTORE PROMO OTB|601.4505|ADDITIONAL DISKON CC,HC CANDY PEMB. KE 2 DIC 30%  CARREFOUR 02 MAR - 16 MAR 2016|2016-03-02 00:00:00|2016-03-16 00:00:00|78400000|UNTUK MENINGKATKAN PENJUALAN|ADDITIONAL DISKON SETIAP PEMBELIAN  CC,HC CANDY MENDAPATKAN PEMB KE 2 DIC 30% BEBAN KEK KLAIM SISTEM RAFRAKSI|TRANSFER|Uang|467861600|NO DATA|5.967600|Approved|SAPTA|2016-03-03 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|4678616.00||78400000|MKI|MODERN
BP16030326|2016-03-04 00:00:00|NO DATA|KA00004|CARREFOUR EXPRSS|KA|BIAYA ON TOP BUDGET|INSTORE PROMO OTB|601.4505|ADDITIONAL DISKON CC,HC CANDY PEMB. KE 2 DIC 30%  CARREFOUR EXPRSS 02 MAR - 16 MAR 2016|2016-03-02 00:00:00|2016-03-16 00:00:00|14700000|UNTUK MENINGKATKAN PENJUALAN|ADDITIONAL DISKON SETIAP PEMBELIAN  CC,HC CANDY MENDAPATKAN PEMB KE 2 DIC 30% BEBAN KEK KLAIM SISTEM RAFRAKSI|TRANSFER|Uang|200909100|NO DATA|13.667200|Approved|SAPTA|2016-03-03 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|2009091.00||14700000|MKI|MODERN
BP16021751|2016-03-04 00:00:00|NO DATA|KA00011|GIANT|KA|TT NON PF|FIXED REBATE|601.4401|FIX REBATE CANDY GIANT 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|578026411|TRADING TERM|REBATE YG DIPEROLEH ACCOUNT  BERDASARKAN TOTAL PENJUALAN & TERTERA DITRADING TERM  CANDY|TRANSFER|Uang|99099400|NO DATA|.171400|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|990994.00||578026411|MKI|MODERN
BP16021777|2016-03-04 00:00:00|NO DATA|KA00011|GIANT|KA|TT NON PF|INSENTIF REBATE|601.4402|INSENTIF REBATE CANDY GIANT 01 JAN - 31 DES 2016|2016-01-01 00:00:00|2016-12-31 00:00:00|578026411|TRADING TERM|PENCAPAIAN ATAS TARGET YANG DITETAPKAN DALAM TRADING TERM YANG BERHAK DITERIMA OLEH ACCOUNT  CANDY|TRANSFER|Uang|39639700|NO DATA|.068500|Approved|SAPTA|2016-02-24 00:00:00|J|Yuni|Forry.Handoko|FORRY|SAPTA|2016-03-04 10:32:00|0|0|BD1602000|100|396397.00||578026411|MKI|MODERN
